,Sem.,Jour,Date,Heure,Domicile,xG,Score,xG.1,Extérieur,Affluence,Tribune,Arbitre,Rapport de match,Notes
113,11,Sam,2019-10-26,20:00,Strasbourg,2.1,1–0,0.8,Nice,25007,Stade de la Meinau,Mikael Lesage,Rapport de match,
114,11,Sam,2019-10-26,20:00,Reims,0.6,0–0,0.7,Nîmes,12329,Stade Auguste-Delaune II,Clément Turpin,Rapport de match,
115,11,Sam,2019-10-26,20:00,Brest,1.9,2–0,1.2,Dijon,14232,Stade Francis-Le Blé,Jérémie Pignard,Rapport de match,
116,11,Sam,2019-10-26,20:00,Montpellier,1.2,0–0,1.0,Angers,12678,Stade de la Mosson,Benoît Millot,Rapport de match,
117,11,Dim,2019-10-27,15:00,Rennes,2.1,3–2,1.2,Toulouse,22918,Roazhon Park,Antony Gautier,Rapport de match,
118,11,Dim,2019-10-27,17:00,Saint-Étienne,0.8,2–2,2.2,Amiens,18877,Stade Geoffroy-Guichard,Amaury Delerue,Rapport de match,
119,11,Dim,2019-10-27,21:00,Paris S-G,3.0,4–0,0.6,Marseille,47926,Parc des Princes,Benoît Bastien,Rapport de match,
120,,,,,,,,,,,,,,
121,12,Ven,2019-11-01,20:45,Dijon,1.0,2–1,3.2,Paris S-G,14859,Stade Gaston Gérard,Ruddy Buquet,Rapport de match,
122,12,Sam,2019-11-02,17:30,Marseille,0.7,2–1,0.4,Lille,53321,Orange Vélodrome,Hakim Ben El Hadj Salem,Rapport de match,
123,12,Sam,2019-11-02,20:00,Toulouse,1.3,2–3,1.8,Lyon,16225,Stadium Municipal,Karim Abed,Rapport de match,
124,12,Sam,2019-11-02,20:00,Amiens,1.4,1–0,0.9,Brest,12246,Stade Crédit Agricole la Licorne,Franck Schneider,Rapport de match,
125,12,Sam,2019-11-02,20:00,Metz,1.9,2–2,1.0,Montpellier,14644,Stade Saint-Symphorien,Stéphanie Frappart,Rapport de match,
126,12,Sam,2019-11-02,20:00,Angers,1.2,1–0,1.2,Strasbourg,9681,Stade Raymond Kopa,Florent Batta,Rapport de match,
127,12,Dim,2019-11-03,15:00,Bordeaux,1.0,2–0,0.7,Nantes,19545,Stade Matmut-Atlantique,François Letexier,Rapport de match,
128,12,Dim,2019-11-03,17:00,Nice,1.0,2–0,0.8,Reims,15468,Stade de Nice,Jeremy Stinat,Rapport de match,
129,12,Dim,2019-11-03,21:00,Saint-Étienne,1.7,1–0,1.0,Monaco,15685,Stade Geoffroy-Guichard,Jérôme Brisard,Rapport de match,
130,,,,,,,,,,,,,,
131,13,Ven,2019-11-08,20:45,Nice,1.5,1–1,1.7,Bordeaux,16173,Stade de Nice,Johan Hamel,Rapport de match,
132,13,Sam,2019-11-09,17:30,Brest,1.1,1–2,2.4,Paris S-G,15144,Stade Francis-Le Blé,Mikael Lesage,Rapport de match,
133,13,Sam,2019-11-09,20:00,Monaco,2.0,1–0,1.2,Dijon,5223,Stade Louis II.,Eric Wattellier,Rapport de match,
